pairing_id,base,n_legs,cost_eur,start_min,end_min,legs
240,DUS,6,1160.4,3945.0,7975.0,3504658063|3504657774|3505309346|3505309347|3505310096|3505310453
241,DUS,6,1160.0,6770.0,9995.0,3505309721|3505310254|3505310215|3505310982|3505311011|3505311138
242,DUS,4,1159.8,3805.0,7785.0,3504658229|3504658230|3505309717|3505310083
243,DUS,7,1153.2,3915.0,7000.0,3504658133|3504657589|3504676194|3504676681|3505309250|3505309306|3505309722
244,DUS,4,1152.4,8010.0,9695.0,3505310223|3505310353|3505310884|3505310885
245,DUS,4,1149.2,3520.0,6415.0,3504658083|3504676462|3504676800|3505309765
246,DUS,8,1145.0,1005.0,5375.0,3504619333|3504619306|3504638347|3504638677|3504638497|3504676701|3504676704|3504676810
247,DUS,6,1145.0,3710.0,7970.0,3504658245|3504676796|3504676775|3504676543|3505310229|3505310345
248,DUS,4,1144.6,2470.0,5320.0,3504638475|3504657657|3504658233|3504676926
249,DUS,5,1143.4,4695.0,8240.0,3504676322|3504676324|3505309268|3505309961|3505310316
250,DUS,2,1142.6,7980.0,10070.0,3505310104|3505310717
251,DUS,5,1138.2,3290.0,6630.0,3504658125|3504676719|3504676893|3505309729|3505309438
252,DUS,4,1134.8,6445.0,9345.0,3505309679|3505310246|3505310987|3505310815
253,DUS,4,1131.6,6400.0,9955.0,3505309300|3505310075|3505310939|3505310936
254,DUS,4,1131.6,7865.0,10045.0,3505310350|3505309963|3505310713|3505310715
255,DUS,6,1131.6,905.0,3975.0,3504619329|3504638662|3504638691|3504658143|3504657848|3504657605
256,DUS,4,1130.4,5530.0,8515.0,3504676544|3505309451|3505309586|3505310389
257,DUS,5,1129.0,1945.0,6390.0,3504638672|3504638824|3504657635|3505309623|3505309624
258,DUS,4,1127.4,6830.0,10015.0,3505309749|3505310444|3505311139|3505311060
259,DUS,3,1122.2,7920.0,10040.0,3505310023|3505310846|3505310849
260,DUS,3,1122.2,6150.0,9995.0,3505309330|3505310449|3505311193
261,DUS,4,1120.0,5010.0,9470.0,3504676872|3505309654|3505311150|3505311151
262,DUS,4,1115.4,3505.0,6925.0,3504657822|3504676556|3504676546|3505309509
263,DUS,4,1115.4,2450.0,5130.0,3504638796|3504657625|3504657854|3504676722
264,DUS,6,1115.0,3890.0,8200.0,3504658167|3504657680|3505309398|3505309744|3505309713|3505310413
265,DUS,5,1113.2,4820.0,8200.0,3504676770|3505309592|3505310256|3505310220|3505309959
266,DUS,5,1107.4,4735.0,8330.0,3504676964|3504676312|3505309266|3505309650|3505310313
267,DUS,4,1106.6,7505.0,9490.0,3505309980|3505310375|3505311166|3505311167
268,DUS,6,1097.8,1955.0,5625.0,3504638577|3504638352|3504658232|3504676895|3504676373|3504676821
269,DUS,4,1096.6,2575.0,6575.0,3504638096|3504657962|3505309542|3505309702
270,DUS,4,1096.6,3530.0,7125.0,3504658187|3504676362|3505309358|3505309275
271,DUS,4,1095.0,4690.0,8245.0,3504676876|3504676780|3505309578|3505310329
272,DUS,6,1090.4,3760.0,8370.0,3504658149|3504658152|3505309619|3505310325|3505310140|3505310138
273,DUS,4,1090.4,2505.0,5630.0,3504638548|3504658240|3504676898|3504676899
274,DUS,4,1090.0,8135.0,9875.0,3505310368|3505310369|3505311156|3505311157
275,DUS,8,1085.0,665.0,4190.0,3504619368|3504618807|3504618840|3504638146|3504638141|3504638255|3504657652|3504658128
276,DUS,4,1077.0,5195.0,9290.0,3504676510|3505309561|3505311025|3505311171
277,DUS,4,1075.4,6220.0,9285.0,3505309564|3505310446|3505311076|3505311077
278,DUS,3,1066.4,6715.0,9845.0,3505309251|3505310295|3505310831
279,DUS,4,1055.4,6865.0,9655.0,3505309556|3505310005|3505309984|3505311127
280,DUS,4,1055.0,4720.0,8520.0,3504676886|3504676887|3505309732|3505310432
281,DUS,5,1051.6,7800.0,9985.0,3505309948|3505310307|3505310468|3505311152|3505311153
282,DUS,4,1051.0,7580.0,9915.0,3505310374|3505310196|3505310942|3505310941
283,DUS,4,1050.4,3875.0,6805.0,3504658211|3504657704|3504676396|3505309551
284,DUS,4,1049.6,3805.0,6410.0,3504657866|3504657840|3505309388|3505309718
285,DUS,4,1045.4,3280.0,5395.0,3504657814|3504657983|3504676761|3504676762
286,DUS,4,1044.8,4685.0,8350.0,3504676357|3504676853|3505309621|3505310327
287,DUS,4,1044.2,1840.0,5410.0,3504638694|3504638697|3504657833|3504676894
288,DUS,4,1040.4,5125.0,8390.0,3504676976|3504676803|3505309456|3505310216
289,DUS,6,1040.0,830.0,4205.0,3504619456|3504618841|3504638149|3504638555|3504658077|3504658276
290,DUS,4,1037.8,4765.0,6290.0,3504676707|3504676204|3504676200|3505309455
291,DUS,2,1037.2,7560.0,9390.0,3505310285|3505310823
292,DUS,4,1037.0,7560.0,9590.0,3505309966|3505309967|3505309958|3505310986
293,DUS,2,1035.2,7810.0,9905.0,3505310068|3505311014
294,DUS,4,1035.0,3815.0,6770.0,3504658185|3504676877|3504676935|3505309720
295,DUS,4,1033.4,3515.0,7800.0,3504658257|3504676516|3505310004|3505310423
296,DUS,3,1030.2,2670.0,5205.0,3504638575|3504657821|3504676683
297,DUS,6,1030.0,1840.0,5550.0,3504638346|3504657813|3504658269|3504676965|3504676939|3504676942
298,DUS,2,1024.6,7550.0,10050.0,3505310070|3505310839
299,DUS,4,1020.4,5405.0,9970.0,3504676711|3504676865|3505310338|3505311085
300,DUS,4,1019.8,4025.0,7830.0,3504657777|3504676949|3505310330|3505310331
301,DUS,4,1019.0,8280.0,9685.0,3505310305|3505310773|3505310741|3505310744
302,DUS,4,1015.0,4010.0,7050.0,3504658151|3504676835|3505309703|3505309704
303,DUS,3,1014.8,3850.0,6335.0,3504658209|3504676726|3505309335
304,DUS,6,1010.0,1135.0,3535.0,3504619347|3504638690|3504638818|3504638180|3504657775|3504658252
305,DUS,4,1010.0,8050.0,9980.0,3505310386|3505310248|3505310999|3505311105
306,DUS,4,1009.2,7600.0,9315.0,3505310376|3505310059|3505310826|3505310961
307,DUS,4,1000.0,2485.0,5500.0,3504638804|3504658249|3504676912|3504676913
308,DUS,4,998.2,2465.0,6360.0,3504638178|3504638678|3504676832|3505309620
309,DUS,4,991.4,3685.0,5610.0,3504657701|3504658202|3504676814|3504676191
310,DUS,7,990.0,1125.0,4890.0,3504619339|3504619208|3504638465|3504638258|3504638259|3504676337|3504676809
311,DUS,4,990.0,4775.0,8270.0,3504676910|3504676911|3505309625|3505310333
312,DUS,6,985.0,1110.0,4115.0,3504619474|3504618996|3504638177|3504638564|3504638565|3504658124
313,DUS,4,985.0,7990.0,9900.0,3505310384|3505310379|3505311160|3505311161
314,DUS,4,983.8,7935.0,9915.0,3505310334|3505310041|3505311057|3505311135
315,DUS,4,981.6,7995.0,10040.0,3505310455|3505310017|3505310778|3505310779
316,DUS,5,978.8,6180.0,8520.0,3505309643|3505309349|3505309607|3505310319|3505310321
317,DUS,3,976.4,4780.0,8295.0,3504676203|3505309521|3505310027
318,DUS,4,975.4,4740.0,7080.0,3504676858|3504676708|3505309552|3505309557
319,DUS,5,975.0,2490.0,5440.0,3504638667|3504657937|3504657587|3504657608|3504676891
320,DUS,4,971.6,8185.0,10025.0,3505310388|3505310825|3505310832|3505310748
321,DUS,3,971.4,3960.0,6810.0,3504657626|3504676744|3505309337
322,DUS,3,967.2,8265.0,9645.0,3505310275|3505310828|3505310827
323,DUS,4,960.4,5385.0,8210.0,3504676743|3505309389|3505309390|3505310419
324,DUS,4,955.0,5230.0,8215.0,3504676903|3504676786|3505309594|3505310425
325,DUS,4,946.6,4720.0,8540.0,3504676532|3505309439|3505309612|3505309956
326,DUS,4,945.4,7620.0,9830.0,3505310255|3505311173|3505311128|3505311131
327,DUS,4,940.0,4770.0,9280.0,3504676852|3505309642|3505311180|3505311181
328,DUS,2,939.6,8990.0,10000.0,3505310819|3505310818
329,DUS,4,936.6,8305.0,9855.0,3505310354|3505310726|3505311178|3505311179
330,DUS,4,935.4,3430.0,5465.0,3504658199|3504658208|3504658231|3504676535
331,DUS,3,932.6,8095.0,9320.0,3505310315|3505310074|3505310847
332,DUS,2,928.4,6850.0,9265.0,3505309487|3505311056
333,DUS,3,922.4,4715.0,7880.0,3504676970|3504676454|3505310022
334,DUS,4,917.8,5070.0,6975.0,3504676340|3504676333|3504676534|3505309441
335,DUS,4,905.0,4030.0,7955.0,3504657808|3504676944|3505310447|3505310448
336,DUS,6,885.0,420.0,2780.0,3504619366|3504619369|3504619370|3504638725|3504638826|3504638827
337,DUS,2,880.0,9285.0,9965.0,3505311215|3505311217
338,DUS,4,876.6,7980.0,9645.0,3505310418|3505310771|3505310790|3505310791
339,DUS,4,875.0,2000.0,4860.0,3504638808|3504658250|3504658137|3504676823
340,DUS,3,871.4,3285.0,4870.0,3504657580|3504658067|3504676267
341,DUS,4,865.0,3525.0,6850.0,3504658255|3504676953|3504676958|3505309746
342,DUS,4,865.0,3985.0,6815.0,3504658175|3504676859|3504676846|3505309632
343,DUS,2,861.4,8960.0,10015.0,3505310739|3505310835
344,DUS,4,850.0,3640.0,7090.0,3504658159|3504676845|3504676836|3505309622
345,DUS,4,850.0,2570.0,6800.0,3504638806|3504676945|3504676924|3505309714
346,DUS,2,842.8,9330.0,9740.0,3505311055|3505311002
347,DUS,2,837.0,5400.0,6780.0,3504676326|3505309567
348,DUS,2,835.4,7640.0,9380.0,3505310438|3505311030
349,DUS,4,835.0,1105.0,5630.0,3504619372|3504619373|3504658141|3504676827
350,DUS,4,830.0,3745.0,7825.0,3504658261|3504657782|3505309348|3505310349
351,DUS,2,820.8,3995.0,5655.0,3504657985|3504676689
352,DUS,4,815.0,3290.0,6385.0,3504658243|3504676940|3504676826|3505309615
353,DUS,5,800.0,810.0,2680.0,3504619345|3504619301|3504619336|3504638794|3504638797
354,DUS,2,800.0,9390.0,9990.0,3505311214|3505311216
355,DUS,4,800.0,4005.0,6870.0,3504658145|3504676831|3505309727|3505309728
356,DUS,4,796.6,3995.0,5660.0,3504657596|3504676348|3504676432|3504676961
357,DUS,4,775.0,6905.0,9265.0,3505309602|3505310312|3505310429|3505311175
358,DUS,2,771.0,9125.0,10195.0,3505311124|3505310969
359,DUS,2,770.2,4560.0,4955.0,3504676585|3504676614
360,DUS,2,764.2,9025.0,10165.0,3505311122|3505310953
361,DUS,4,760.0,1825.0,4180.0,3504638787|3504638786|3504638788|3504658234
362,DUS,2,757.4,4690.0,5070.0,3504676518|3504676720
363,DUS,2,749.6,3340.0,3585.0,3504657669|3504657670
364,DUS,2,719.0,9250.0,9610.0,3505310886|3505310887
365,DUS,2,685.4,9590.0,9975.0,3505311134|3505311012
366,DUS,2,685.4,3845.0,4200.0,3504658051|3504658212
367,DUS,4,680.0,1125.0,2635.0,3504619073|3504619068|3504638726|3504638727
368,DUS,2,673.2,5390.0,5710.0,3504676213|3504676214
369,DUS,2,667.8,3270.0,3475.0,3504657910|3504658086
370,DUS,2,665.4,4740.0,6775.0,3504676745|3505309726
371,DUS,2,664.8,7955.0,9230.0,3505310309|3505310803
372,DUS,2,650.0,6130.0,8395.0,3505309673|3505310387
373,DUS,2,645.0,3685.0,4130.0,3504658225|3504658226
374,DUS,2,625.0,3895.0,5010.0,3504658275|3504676971
375,DUS,2,620.0,6195.0,6610.0,3505309671|3505309672
376,DUS,1,607.2,9040.0,9110.0,3505311043
377,DUS,2,605.0,3785.0,4190.0,3504658213|3504658214
378,DUS,2,605.0,4700.0,5115.0,3504676904|3504676905
379,DUS,2,575.0,6200.0,6570.0,3505309741|3505309742
380,DUS,2,570.0,6155.0,6520.0,3505309657|3505309658
381,DUS,2,560.0,9125.0,9655.0,3505311144|3505310932
382,DUS,2,530.0,1870.0,2760.0,3504638689|3504638692
383,DUS,2,530.0,3580.0,3910.0,3504658203|3504658204
384,DUS,2,515.0,9065.0,9375.0,3505311190|3505311191
385,DUS,2,515.0,9020.0,9335.0,3505311086|3505311087
386,DUS,2,505.0,9080.0,9380.0,3505311196|3505311197
387,DUS,2,496.6,3340.0,3750.0,3504657592|3504658172
388,DUS,2,495.0,4985.0,6815.0,3504676802|3505309601
