Captain_ID,Home_Base,Legs
846,STR,"[3504618976, 3504618978, 3504638364, 3504638684]"
270,DUS,"[3504619135, 3504619138, 3504638746, 3504638751]"
933,STR,"[3504618982, 3504618983]"
115,STR,"[3504618972, 3504618973, 3504638573, 3504638586, 3504762878, 3504658089]"
750,HAM,"[3504619211, 3504619212, 3504638478]"
845,BER,"[3504619130, 3504638499]"
547,STR,"[3504618936, 3504618940, 3504638269, 3504638811]"
422,STR,"[3504618962, 3504618821, 3504638121, 3504638527]"
92,BER,"[3504619484, 3504619485, 3504638671, 3504638168]"
350,STR,"[3504618941, 3504618942, 3504638187, 3504638703, 3504638806]"
948,MUC,[3504638497]
725,HAM,"[3504619249, 3504619417, 3504638348, 3504638351, 3504638574]"
182,DUS,"[3504619386, 3504619315, 3504638170, 3504638215]"
942,DUS,"[3504619388, 3504638200]"
383,BER,"[3504619322, 3504619176, 3504638331, 3504638332]"
134,STR,"[3504638253, 3504638255]"
383,BER,"[3504619316, 3504619375, 3504638820, 3504658258, 3504658233, 3504676926, 3504676941, 3504676750]"
454,CGN,"[3504618804, 3504619313, 3504638092]"
866,NUE,"[3504638380, 3504638409]"
280,STR,"[3504638181, 3504638182]"
132,CGN,"[3504618820, 3504618963, 3504638209, 3504638753, 3504638667]"
623,DUS,"[3504619420, 3504618827, 3504638161, 3504638324]"
857,DUS,"[3504619472, 3504619473, 3504619372, 3504638517]"
83,DUS,"[3504619366, 3504619218, 3504638500]"
543,HAJ,"[3504619193, 3504619014]"
523,HAM,"[3504619227, 3504619305, 3504638174]"
176,STR,"[3504619123, 3504619127, 3504638672, 3504638750, 3504638330, 3504658169, 3504658032]"
375,BER,"[3504638619, 3504638771]"
464,CGN,"[3504618808, 3504618809, 3504638157, 3504658268]"
15,BER,"[3504619326, 3504619327, 3504638630, 3504638639]"
29,STR,"[3504619001, 3504638844, 3504638683]"
726,STR,"[3504618997, 3504618998]"
104,DUS,"[3504619147, 3504619150, 3504638264, 3504638709, 3504638687, 3504658142, 3504658145, 3504676829, 3504676927]"
828,DUS,"[3504619468, 3504619289, 3504638538]"
170,DUS,"[3504619339, 3504638678]"
708,DUS,[3504638675]
119,CGN,"[3504638107, 3504638727]"
44,CGN,"[3504638153, 3504638180]"
394,BER,"[3504638090, 3504638127, 3504638387]"
429,DUS,"[3504619442, 3504619443, 3504638700, 3504638701]"
572,STR,"[3504638219, 3504638220]"
171,CGN,"[3504618851, 3504619287, 3504638520, 3504658019, 3504658047]"
95,DUS,"[3504619444, 'DH_3504619445', 3504638685, 3504638581]"
715,BER,"[3504619304, 3504619228, 3504638178]"
81,HAM,"[3504638536, 3504638210]"
161,CGN,"[3504638125, 3504638537]"
511,HAM,"[3504619207, 3504638097]"
9,HAM,"[3504638540, 3504658222, 3504658175, 3504658176]"
309,DUS,"[3504619352, 3504619285, 3504638410, 3504638320]"
716,HAM,"[3504619294, 3504619487, 3504638726, 3504638186]"
685,DUS,"[3504619493, 3504638658, 3504638172]"
704,DUS,"[3504619410, 3504619411, 3504619335, 3504618921, 3504638461, 3504638490]"
13,CGN,"[3504618858, 3504619469, 3504638758, 3504638759]"
170,DUS,"[3504619446, 3504619447]"
716,HAM,"[3504619219, 3504619373, 3504638718, 3504638525]"
137,CGN,"[3504618840, 3504618841]"
136,DUS,"[3504638814, 3504658254, 3504658245, 3504658249]"
390,DUS,[3504638740]
847,STR,"[3504618991, 3504638559, 3504638514]"
341,BER,[3504638580]
918,BER,"[3504619336, 3504638816, 3504638322]"
432,HAM,[3504638360]
866,NUE,"[3504638378, 3504638747]"
499,HAM,"[3504638524, 3504638721]"
725,HAM,"[3504638552, 3504638805]"
391,BER,"[3504638588, 3504638731]"
751,DUS,"[3504619414, 3504619415, 3504638776, 3504638777]"
433,STR,"[3504618999, 3504619295, 3504619109, 3504638583, 3504638094]"
936,DUS,"[3504619433, 3504619435]"
170,DUS,[3504619333]
65,CGN,"[3504618812, 3504618813, 3504638096]"
126,STR,"[3504618922, 3504638570, 3504638839]"
929,DUS,"[3504619337, 3504619208, 3504638668, 3504638350, 3504658232]"
122,STR,"[3504618993, 3504638821, 3504638798, 3504638799]"
769,DUS,"[3504619360, 3504618805, 3504638089]"
504,HAM,"[3504638465, 3504638185, 3504638521]"
943,STR,"[3504638279, 3504638280]"
839,BER,"[3504638657, 3504638301]"
845,BER,"[3504619312, 3504638713, 3504638784, 3504638785]"
596,HAM,"[3504619143, 3504619145, 3504638516, 3504638105]"
159,STR,"[3504618970, 3504618969]"
193,DUS,"[3504619390, 3504619391]"
391,BER,"[3504619324, 3504619325]"
127,HAM,"[3504619225, 3504619226]"
674,BER,"[3504619334, 3504619474, 3504619475, 3504638826, 3504658262, 3504657808, 3504676944]"
57,DUS,"[3504619392, 3504619393, 3504638778, 3504638779]"
361,STR,"[3504618995, 3504618862, 3504638098, 3504638099]"
68,CGN,"[3504618822, 3504619182, 3504638388]"
726,STR,"[3504618968, 3504618971]"
173,HAM,"[3504619270, 3504619421, 3504638742, 3504638743]"
658,STR,"[3504618987, 3504618988]"
652,STR,[3504638575]
70,STR,"[3504638199, 3504658038, 3504657985, 3504676689]"
730,HAM,"[3504638450, 3504638287, 3504657786, 3504657777, 3504676949]"
946,BER,"[3504619318, 3504619269, 3504638522, 3504658168]"
858,CGN,"[3504619019, 3504619020, 3504638329, 3504657867, 3504657871, 3504657796]"
948,MUC,"[3504618943, 3504618807]"
403,DUS,"[3504619356, 3504618990, 3504638179, 3504658256, 3504658185, 3504658186]"
377,HAM,"[3504638354, 3504638353, 3504638554, 3504638555]"
352,DUS,"[3504638696, 3504658150, 3504658139, 3504676683, 3504676342, 3504676396, 3504676403]"
167,HAM,"[3504638542, 3504658058]"
611,CGN,[3504638091]
537,CGN,"[3504618836, 3504619445, 3504638716, 3504638523]"
889,STR,[3504638447]
557,HAM,"[3504618925, 3504638475]"
636,NUE,[3504638477]
44,CGN,[3504638088]
163,STR,"[3504619149, 'DH_3504619150']"
947,CGN,"[3504618863, 3504638569]"
866,NUE,"[3504619028, 3504619033]"
624,CGN,[3504638579]
722,CGN,"[3504638163, 3504658274, 3504658241, 3504658242]"
270,DUS,"[3504658243, 3504658066, 3504658067, 3504676940, 3504676820, 3504676195]"
507,HAM,"[3504657655, 3504657791, 3504658084, 3504658051, 3504676375, 3504676361, 3504676362]"
327,STR,"[3504657656, 3504657965, 3504657820]"
556,CGN,"[3504657586, 3504657681, 3504658188]"
429,DUS,"[3504658153, 3504658154, 3504658161, 3504676847, 3504676933, 3504676744]"
81,HAM,"[3504658035, 3504658036, 3504658071, 3504676955, 3504676896, 3504676724]"
830,STR,"[3504657654, 3504658120, 3504658255, 3504676953, 3504676930, 3504676254, 3504676297, 3505309750]"
504,HAM,"[3504658065, 3504657631]"
86,DUS,"[3504658248, 3504657807]"
521,DUS,"[3504657814, 3504657983]"
208,BER,"[3504657581, 3504657596, 3504676859, 3504676895, 3504676373]"
102,DUS,"[3504658144, 3504658146]"
320,DUS,"[3504658147, 3504658152]"
489,STR,"[3504657921, 3504658083]"
689,BER,"[3504658111, 3504658112]"
743,DUS,"[3504658251, 3504657778]"
943,STR,"[3504657775, 3504657776, 3504657755]"
66,CGN,"[3504657592, 3504657670, 3504657705, 3504676905, 3504676826, 3505309615, 3505309762]"
83,DUS,"[3504658265, 3504658266, 3504658193]"
940,CGN,"[3504657580, 3504658128]"
499,HAM,"[3504658073, 3504658074]"
521,DUS,"[3504658137, 3504658140]"
847,STR,"[3504657690, 3504658202]"
54,STR,"[3504657725, 3504657726]"
24,STR,"[3504657677, 3504657678, 3504657757, 3504676718, 3504676747, 3504676942]"
903,DUS,"[3504658219, 3504658220, 3504658263, 3504676959, 3504676923]"
126,STR,"[3504657675, 3504657676, 3504657722, 3504676975, 3504676864, 3504676208]"
830,STR,"[3504657736, 3504657742]"
390,DUS,"[3504658217, 3504657764]"
489,STR,"[3504657683, 3504762877]"
142,HAM,"[3504658059, 3504658060, 3504658033]"
58,DUS,"[3504658183, 3504658184]"
607,HAM,"[3504658041, 3504658042]"
365,BER,"[3504658097, 3504658098]"
205,STR,"[3504657663, 3504657664]"
39,STR,"[3504657665, 3504657666]"
873,STR,"[3504657667, 3504657668]"
19,HAM,"[3504658081, 3504658285]"
505,STR,"[3504657791, 3504658116]"
653,DUS,"[3504658273, 3504658078]"
712,DUS,"[3504658227, 3504658228, 3504658131]"
710,DUS,"[3504658183, 3504657685]"
843,CGN,"[3504658215, 3504657753]"
950,STR,"[3504657789, 3504657790]"
941,DUS,"[3504658286, 3504658287]"
929,DUS,"[3504658189, 3504658190]"
162,CGN,"[3504658135, 3504658136]"
703,CGN,"[3504657854, 3504657840]"
449,HAM,"[3504658037, 3504657682]"
