pairing_id,base,n_legs,cost,start_min,end_min,route,legs
115,DUS,4,892.0,665.0,2215.0,DUS->LHR [TUR] LHR->STR [LAY] STR->PMI [TUR] PMI->DTM,3505309645|3505309351|3505310058|3505310115
116,DUS,4,885.0,435.0,2040.0,DUS->SVQ [TUR] SVQ->DUS [LAY] DUS->ZRH [TUR] ZRH->DUS,3505309671|3505309672|3505310422|3505310423
117,STR,4,885.0,380.0,2055.0,STR->HER [TUR] HER->STR [LAY] STR->NCE [TUR] NCE->STR,3505309378|3505309379|3505310030|3505310031
118,DUS,4,880.0,440.0,2530.0,DUS->CTA [TUR] CTA->DUS [TUR] DUS->MXP [LAY] MXP->DUS,3505309741|3505309742|3505309745|3505310442
119,STR,4,870.0,1085.0,2760.0,STR->DUB [TUR] DUB->STR [LAY] STR->IBZ [TUR] IBZ->STR,3505309392|3505309393|3505310056|3505310057
120,HAJ,4,865.0,620.0,2525.0,HAJ->OLB [LAY] OLB->CGN [TUR] CGN->FCO [TUR] FCO->HAJ,3505309416|3505310011|3505310014|3505310113
121,STR,4,860.0,1105.0,2790.0,STR->PMI [TUR] PMI->STR [LAY] STR->PMI [TUR] PMI->STR,3505309368|3505309373|3505310064|3505310065
122,DUS,4,860.0,820.0,2545.0,DUS->EDI [TUR] EDI->CGN [LAY] CGN->PMI [TUR] PMI->DUS,3505309627|3505309260|3505309984|3505310383
123,HAM,4,855.0,405.0,2310.0,HAM->VIE [TUR] VIE->DUS [LAY] DUS->PMI [TUR] PMI->HAM,3505309548|3505309718|3505310374|3505310244
124,MUC,6,850.0,735.0,2390.0,MUC->DUS [TUR] DUS->PRG [TUR] PRG->DUS [LAY] DUS->LHR [TUR] LHR->HAM [TUR] HAM->MUC,3505309609|3505309727|3505309728|3505310348|3505310222|3505310214
125,HAM,4,845.0,905.0,2760.0,HAM->BCN [TUR] BCN->STR [LAY] STR->LHR [TUR] LHR->HAM,3505309524|3505309359|3505310036|3505310226
126,STR,4,840.0,1000.0,2830.0,STR->BCN [TUR] BCN->CGN [LAY] CGN->FCO [TUR] FCO->STR,3505309358|3505309275|3505310016|3505310099
127,STR,4,840.0,725.0,2485.0,STR->SPU [TUR] SPU->DTM [LAY] DTM->PMI [TUR] PMI->STR,3505309408|3505309421|3505310114|3505310061
128,NUE,2,835.0,1975.0,2620.0,NUE->RMF [TUR] RMF->NUE,3505310118|3505310119
129,STR,4,830.0,370.0,2210.0,STR->VCE [TUR] VCE->STR [LAY] STR->OPO [TUR] OPO->STR,3505309346|3505309347|3505310078|3505310079
130,STR,4,820.0,1040.0,2745.0,STR->LHR [TUR] LHR->STR [LAY] STR->PRN [TUR] PRN->STR,3505309352|3505309353|3505310159|3505310160
131,STR,4,815.0,390.0,2490.0,STR->BCN [LAY] BCN->DUS [TUR] DUS->KRK [TUR] KRK->STR,3505309356|3505310343|3505310412|3505310081
132,DUS,4,805.0,705.0,2785.0,DUS->PMI [TUR] PMI->BER [TUR] BER->SZG [LAY] SZG->DUS,3505309677|3505309585|3505309442|3505310136
133,DUS,4,785.0,700.0,2780.0,DUS->NCE [TUR] NCE->DUS [TUR] DUS->BLQ [LAY] BLQ->DUS,3505309635|3505309634|3505309749|3505310444
134,DUS,4,785.0,630.0,2515.0,DUS->PMI [TUR] PMI->DUS [TUR] DUS->DRS [LAY] DRS->DUS,3505309681|3505309678|3505309602|3505310312
